Configuration,Model,Standard_R2,Standard_MAE,Standard_RMSE,Spatial_R2,Spatial_MAE,Spatial_RMSE
Satellite-only,SVR,0.11050623938623705,0.1372960475396514,0.17573645237254673,-0.23129809254779254,0.16500475251749935,0.2067626097978025
Satellite-only,Random Forest,0.1564869471949797,0.1327358041535705,0.17113400164856524,-0.04340225218787164,0.15062231792454642,0.19033396149730106
Satellite-only,CatBoost,0.1556447662655055,0.1330503157457823,0.17121941220356274,-0.004770969566751049,0.14790915613997613,0.18677723471670996
Satellite-only,TabPFN,0.10958115388766088,0.1377220460082953,0.17582781276412707,0.04299881523004989,0.1450933537415455,0.1822831981495642
UAV-only,SVR,0.04481963312734638,0.13989923444002755,0.18210970696795617,-0.12098649772975723,0.15771758833163704,0.197283422133979
UAV-only,Random Forest,0.21261008985758278,0.12921673665197428,0.16534281395997444,0.0773002489195801,0.14190620909406831,0.17898663516614344
UAV-only,CatBoost,0.17917081542558777,0.13171829254726702,0.1688172403617843,0.078600177028604,0.14252586703361234,0.17886050975872136
UAV-only,TabPFN,0.2086098540655721,0.12896225653928545,0.16576228359504194,0.08785625461426627,0.1411756927754089,0.17795985539649573
Fused,SVR,0.04151359201649507,0.14114500890233608,0.18242459101425673,-0.16480359472759498,0.1620743134592423,0.20110216822722973
Fused,Random Forest,0.21140335154648393,0.12908194514516605,0.16546946602701726,0.06577028956511544,0.1427045298506496,0.18010146240158134
Fused,CatBoost,0.18753782217788995,0.1312769251970231,0.16795462911626444,0.03503946617011022,0.14501853773104462,0.18303965040095316
Fused,TabPFN,0.19682202273446592,0.13006037899534167,0.16699224290720538,0.11499475353681943,0.13946396321157398,0.17529249582053474
